traj_idx,frame,x,y,z
11,0,82.0296716,17.0731162,0.0
11,1,83.1885117,12.7205591,0.0
11,2,84.6229156,7.609133,0.0
11,3,85.2525254,2.9408667,0.0
33,0,446.9608773,60.1778806,0.0
33,1,447.4285411,59.3707901,0.0
33,2,447.4474693,59.5792723,0.0
33,3,448.2037401,59.6073162,0.0
34,0,353.8065651,483.6443627,0.0
34,1,354.131282,483.3516869,0.0
34,2,353.5989074,483.9029144,0.0
34,3,353.8136306,482.9932108,0.0
37,0,498.8135837,194.8935795,0.0
37,1,498.9844768,195.9967907,0.0
37,2,499.8043077,195.958156,0.0
37,3,500.3655256,196.1678708,0.0
38,0,86.8875922,334.2004008,0.0
38,1,86.2387811,334.135237,0.0
38,2,86.7207905,334.4128865,0.0
38,3,85.7889781,332.9167927,0.0
66,0,335.3848903,365.2716475,0.0
66,1,332.3801356,362.2735599,0.0
66,2,328.7852641,359.3045196,0.0
66,3,322.7806826,356.065682,0.0
78,0,399.8390063,414.8761188,0.0
78,1,399.5611216,414.9843513,0.0
78,2,400.183474,415.5508314,0.0
78,3,400.1738827,415.1038669,0.0
22,0,131.2638845,197.7980683,0.0
22,1,133.541973,199.8003896,0.0
22,2,133.6948075,199.7592805,0.0
22,3,134.3387083,200.8918685,0.0
22,4,134.3553962,200.9468903,0.0
45,0,141.8750608,1.4029612,0.0
45,1,141.6717123,1.0607353,0.0
45,2,141.4284745,0.678884,0.0
45,3,141.4052826,0.9041928,0.0
45,4,142.6992226,0.8680388,0.0
0,0,495.6214183,115.2664699,0.0
0,1,495.686967,115.4104847,0.0
0,2,496.6007286,115.7224505,0.0
0,3,494.8310783,111.6031494,0.0
0,4,494.581827,111.9525578,0.0
0,5,493.9049465,112.2054481,0.0
6,0,61.8899399,341.3794627,0.0
6,1,61.9726697,338.0808606,0.0
6,2,61.4780313,334.1599146,0.0
6,3,61.1839051,330.7147368,0.0
6,4,60.6338208,327.3316892,0.0
6,5,57.7532489,324.1094411,0.0
14,0,466.2810384,498.1959297,0.0
14,1,466.9352997,498.2700137,0.0
14,2,467.2016355,497.1680954,0.0
14,3,466.9147522,496.8694183,0.0
14,4,467.4263313,496.5548278,0.0
14,5,466.6598488,497.339247,0.0
15,0,442.965871,10.6409045,0.0
15,1,442.2734,10.9600872,0.0
15,2,441.8283126,10.8418384,0.0
15,3,441.2509819,10.3355856,0.0
