traj_idx,frame,x,y,z
3,0,100.3338745,123.0200022,0.0
3,2,99.135889,122.7116555,0.0
6,2,76.3931187,111.0960679,0.0
6,3,78.7558804,112.0839132,0.0
6,4,77.1156026,112.2339908,0.0
6,5,78.1463044,113.1020905,0.0
6,6,77.094658,112.2250318,0.0
6,7,78.6480183,113.05007,0.0
8,10,78.1462888,112.8253641,0.0
8,11,76.27984,112.9322009,0.0
8,12,77.0223066,112.1837904,0.0
4,1,66.1736199,98.2259058,0.0
4,2,66.0721104,98.1037245,0.0
4,3,66.5058995,97.7910107,0.0
4,4,66.0898533,98.1869088,0.0
4,5,65.4961137,97.846191,0.0
4,6,65.9340256,97.7927528,0.0
4,7,65.2401527,97.8986745,0.0
4,8,65.4840008,97.8132854,0.0
4,9,66.1728581,97.8363175,0.0
4,10,65.831552,97.3177796,0.0
4,11,65.7296102,97.8652919,0.0
4,12,66.0061457,98.082422,0.0
4,13,65.5581778,97.8730669,0.0
10,22,33.1320706,82.0807551,0.0
10,23,33.2790168,82.1955363,0.0
10,24,33.1559678,82.5047435,0.0
12,24,66.1030007,78.8894116,0.0
12,25,67.1615299,78.1931197,0.0
12,26,66.7416371,79.9424191,0.0
16,29,68.4262954,79.3365513,0.0
16,30,66.985278,79.7737992,0.0
17,30,79.014878,114.4304646,0.0
17,31,78.965224,114.0380382,0.0
2,0,73.8812985,136.2261121,0.0
2,1,73.8883037,136.1562276,0.0
2,2,74.1119672,136.1468085,0.0
2,3,73.8755291,136.0067774,0.0
2,4,73.9282476,135.9404283,0.0
2,5,73.8801285,135.933419,0.0
2,6,73.2088117,136.3096913,0.0
2,7,73.6446138,136.2111383,0.0
2,8,73.8560965,136.8659796,0.0
2,9,73.497517,136.2427309,0.0
2,10,73.7674224,135.9584746,0.0
2,11,74.2240979,136.7083528,0.0
2,12,74.8476429,135.8983333,0.0
2,13,74.1701441,136.0201317,0.0
2,14,74.0805678,135.9542863,0.0
2,15,74.0841229,136.2067829,0.0
2,16,74.5603004,136.6643618,0.0
2,17,73.9746784,136.792914,0.0
2,18,73.7828247,136.8094802,0.0
2,19,73.5489986,136.701983,0.0
2,20,74.5413147,136.7506004,0.0
2,21,73.9228669,137.2750637,0.0
2,22,74.0013338,137.2705686,0.0
2,23,74.0712254,136.9833916,0.0
2,24,74.002804,137.1813892,0.0
2,25,74.0791517,137.0665663,0.0
2,26,73.9494186,136.7890487,0.0
2,27,74.3285223,137.1534705,0.0
2,28,74.1670562,137.3008441,0.0
2,29,74.8031586,136.8186146,0.0
2,30,74.8344808,137.1713445,0.0
2,31,74.8043101,137.1203941,0.0
2,32,74.0318885,136.7418418,0.0
2,33,73.7224276,136.6136019,0.0
27,49,105.5311202,45.099706,0.0
27,50,105.2176299,45.208712,0.0
35,54,95.1013806,119.9369898,0.0
35,55,94.9671735,119.9575624,0.0
35,56,95.0208946,119.9825063,0.0
35,57,94.3529614,120.5624976,0.0
35,58,94.2348243,121.1617524,0.0
26,49,30.6799347,134.9716713,0.0
26,50,30.2966332,135.5040818,0.0
26,51,30.2487801,135.0367944,0.0
26,52,30.8658501,134.7063157,0.0
26,53,30.8090676,134.8646974,0.0
26,55,32.093261,134.7423929,0.0
26,56,33.556844,134.1716355,0.0
26,57,32.8383787,134.1140378,0.0
26,59,32.3794037,134.2549511,0.0
26,60,33.0083704,134.6730859,0.0
20,41,80.5598556,32.8105126,0.0
20,42,80.6755022,33.3372893,0.0
20,43,80.4030007,33.0066395,0.0
20,44,80.4309874,33.6514465,0.0
20,45,80.4405503,33.1446417,0.0
