traj_idx,frame,x,y,z
16,0,72.6438211,75.3176843,0.0
16,1,71.8502136,76.7025838,0.0
16,2,71.8613052,76.2852737,0.0
16,3,72.1891017,77.369292,0.0
16,4,72.2768492,76.8651441,0.0
16,5,71.8549126,75.7408752,0.0
16,6,72.6650349,73.6446483,0.0
16,7,74.381299,75.0229042,0.0
16,8,73.0585465,74.07879,0.0
16,9,75.2645983,75.1021754,0.0
16,10,75.9858517,75.8381007,0.0
16,11,78.2185496,75.809706,0.0
16,12,76.3532063,76.7040534,0.0
16,13,77.6626016,76.6678829,0.0
16,14,76.1210349,74.6242049,0.0
16,15,75.3302457,75.3733435,0.0
16,16,74.3632445,76.1950024,0.0
16,17,73.0005181,75.8888986,0.0
16,18,74.3206405,78.1109051,0.0
16,19,73.8303752,77.3778793,0.0
28,23,76.9455439,72.3475571,0.0
28,24,80.6280079,76.2045433,0.0
28,25,80.4900485,76.9810044,0.0
28,26,79.1625868,76.2329069,0.0
28,27,77.4157985,75.9478036,0.0
18,0,49.8660724,95.1495583,0.0
18,2,51.0211102,94.9338602,0.0
18,3,50.8502095,96.0243326,0.0
18,4,52.6992905,95.1276911,0.0
18,5,51.0514073,95.9734993,0.0
18,6,48.5847589,96.1034124,0.0
18,7,49.9361413,96.1915522,0.0
18,8,49.3673684,97.6319278,0.0
18,9,50.9345703,95.5582655,0.0
18,10,50.7710352,97.4790995,0.0
18,11,50.2892418,96.4407397,0.0
18,12,49.0931165,95.7324959,0.0
18,13,47.6963256,100.0833082,0.0
18,14,47.6239326,101.7737006,0.0
18,15,48.5705274,100.5376219,0.0
18,16,49.7302233,99.9668298,0.0
18,17,46.7168824,98.015467,0.0
18,18,46.4780602,98.8872731,0.0
18,19,46.8257682,98.9822364,0.0
18,20,47.1382194,100.2186876,0.0
18,21,45.9251161,101.9705236,0.0
18,22,45.6712033,100.7507436,0.0
18,23,48.7268456,98.8822379,0.0
18,24,50.0153538,99.1156139,0.0
18,25,48.2181942,96.2489982,0.0
18,26,47.5595559,94.9568067,0.0
18,27,46.0626045,96.2596754,0.0
18,28,46.2810397,98.2775251,0.0
6,0,120.5278272,12.5410063,0.0
6,1,120.1911878,13.9284506,0.0
6,2,122.0119801,12.189093,0.0
6,3,121.0241532,13.342727,0.0
6,4,121.3471315,12.9643619,0.0
6,5,124.4790884,14.4056277,0.0
6,6,122.4106795,13.5716991,0.0
6,7,124.553638,14.6930354,0.0
6,8,124.4528896,14.8972025,0.0
6,9,124.9636912,14.208896,0.0
6,10,125.0351975,14.8823045,0.0
6,11,124.3197708,15.2580846,0.0
6,12,123.7930071,15.1515768,0.0
6,13,123.309221,16.4129201,0.0
6,14,124.0548025,16.8148996,0.0
6,15,122.326743,14.2949334,0.0
6,16,122.4118298,14.2178525,0.0
6,17,122.1803641,15.8740123,0.0
6,18,123.867041,14.5313998,0.0
6,19,123.6857898,15.5873408,0.0
6,20,123.0255904,15.4391343,0.0
6,21,121.0205023,14.2136244,0.0
6,22,122.2337492,16.2090146,0.0
6,23,121.4526108,15.1393196,0.0
6,24,122.9492666,14.7980218,0.0
6,25,123.7876366,12.9787399,0.0
6,26,124.9797805,12.3740529,0.0
6,27,125.8572037,12.558073,0.0
6,28,125.7719979,13.9964439,0.0
6,29,123.9622786,13.0534259,0.0
6,30,125.5687048,11.8442365,0.0
6,31,124.9543384,10.9258788,0.0
6,32,124.0343872,12.2203018,0.0
6,33,124.8837404,11.9630406,0.0
6,34,126.7126181,12.6418613,0.0
6,35,126.617909,14.4352098,0.0
6,36,126.837073,15.5190394,0.0
14,0,62.8596566,69.1676225,0.0
14,1,64.8960626,70.7553757,0.0
