traj_idx,frame,x,y,z
5,0,428.0354548,21.3434397,0.0
5,1,428.0146126,17.8802244,0.0
5,2,423.9647525,19.168553,0.0
5,3,427.2187694,15.8185247,0.0
29,0,206.3409354,83.7885406,0.0
29,1,204.5893689,82.5161243,0.0
29,2,203.169829,83.5595961,0.0
29,3,205.4343763,84.2939303,0.0
41,0,221.2566264,103.8729518,0.0
41,1,223.3813851,103.7150906,0.0
41,2,222.7664085,104.8506365,0.0
41,3,224.113123,104.7495699,0.0
6,0,429.3292822,243.7395819,0.0
6,1,429.584326,241.8262693,0.0
6,2,431.5856224,245.1952541,0.0
6,3,432.9865679,246.7531314,0.0
6,4,431.8711783,249.2251267,0.0
47,0,375.8091353,271.1156569,0.0
47,1,373.3517855,273.3807862,0.0
47,2,375.6086477,277.5932144,0.0
47,3,375.6350673,276.473022,0.0
47,4,374.2262674,277.0659408,0.0
67,0,117.9454973,254.022562,0.0
67,1,122.6990422,253.8760949,0.0
67,2,121.968789,254.3309089,0.0
67,3,120.1149098,252.8640547,0.0
67,4,120.4355857,251.1056307,0.0
86,1,54.6821649,344.9996376,0.0
86,2,55.3598123,344.1752351,0.0
86,3,58.9558979,342.5581353,0.0
86,4,58.1602955,345.0023859,0.0
0,0,161.3878864,396.0750883,0.0
0,1,157.73287,395.8700146,0.0
0,2,156.4331524,393.9558281,0.0
0,3,153.033721,398.2977886,0.0
0,4,149.9462901,396.9818844,0.0
0,5,148.4787919,397.7546387,0.0
21,0,308.8977893,296.8479071,0.0
21,1,311.2606707,293.268589,0.0
21,2,312.6960838,291.9640185,0.0
21,3,315.8681664,291.1944267,0.0
21,4,317.5649897,294.0816698,0.0
21,5,318.9591187,292.9866772,0.0
32,0,264.09439,243.1316128,0.0
32,1,265.4028925,246.9035537,0.0
32,2,268.1164627,243.7683322,0.0
32,3,266.7500866,244.6951149,0.0
32,4,266.8014189,247.0728997,0.0
32,5,267.3526817,245.0367423,0.0
40,0,4.3883701,242.5883848,0.0
40,1,4.4495491,243.6067631,0.0
40,2,2.9900647,241.3703811,0.0
40,3,5.2025976,239.8808561,0.0
40,4,3.5286189,237.6667401,0.0
40,5,1.1875991,241.0212645,0.0
36,0,331.3089951,443.9440693,0.0
36,1,333.3679971,442.7342219,0.0
36,2,333.7782042,442.0999528,0.0
36,3,331.8300425,439.3326372,0.0
36,4,330.3339067,436.8757202,0.0
36,5,327.7543495,439.160026,0.0
36,6,328.1739584,440.1320367,0.0
37,0,221.1220006,258.894302,0.0
37,1,222.8307615,257.9493146,0.0
37,2,222.043386,256.6276657,0.0
37,3,223.171992,259.5699596,0.0
37,4,225.0004283,259.1788852,0.0
37,5,223.1135344,258.9892126,0.0
37,6,221.1762338,259.6728887,0.0
78,0,153.9082154,125.7706748,0.0
78,1,152.2819817,126.5740397,0.0
78,2,151.2623207,129.6807035,0.0
78,3,149.6658631,128.3750891,0.0
78,4,148.2971319,125.2999449,0.0
78,5,147.8630482,121.2623361,0.0
78,6,147.459245,123.2941532,0.0
26,0,447.8593912,478.8660331,0.0
26,1,447.2695881,480.8614571,0.0
26,2,447.9233569,480.5169344,0.0
26,3,448.3599428,475.8479682,0.0
26,4,447.1644696,475.7793428,0.0
26,5,449.8522003,472.764966,0.0
26,6,452.0633892,471.2620758,0.0
26,7,450.7422065,470.3475351,0.0
91,2,57.5686528,72.9181558,0.0
91,3,53.8078636,73.6570649,0.0
91,4,54.949414,72.5859163,0.0
91,5,56.0391689,71.1507132,0.0
91,6,55.4930648,69.1839038,0.0
91,7,55.4167518,68.6135001,0.0
98,3,429.9515014,19.7383732,0.0
98,4,430.8927636,17.1186738,0.0
98,5,432.3936662,19.0483239,0.0
98,6,431.7676512,19.7520631,0.0
98,7,429.3828872,19.2651472,0.0
7,0,464.6243258,73.6956606,0.0
7,1,463.5706174,71.1500429,0.0
7,2,464.6988311,71.9460807,0.0
7,3,466.6581363,66.6522184,0.0
7,4,467.7864153,65.2572529,0.0
7,5,469.2955771,67.5812524,0.0
7,6,468.6140032,69.3827421,0.0
7,7,466.3739477,67.4027218,0.0
7,8,464.0951562,68.8441461,0.0
9,0,218.9767536,357.259552,0.0
9,1,220.0491568,356.2035974,0.0
9,2,219.7225024,356.6449624,0.0
9,3,218.5831346,354.7561121,0.0
9,4,214.6496964,355.2878031,0.0
9,5,212.9170923,353.9865924,0.0
9,6,214.1294131,354.8249937,0.0
9,7,213.2634073,354.9221728,0.0
9,8,211.7031506,356.8402382,0.0
54,0,456.070962,9.0860823,0.0
54,1,456.101191,9.6540154,0.0
54,2,455.6518258,6.8052295,0.0
54,3,455.4002444,5.6430066,0.0
54,4,453.9963178,2.3442668,0.0
54,5,454.4212127,3.4280568,0.0
54,6,454.3049985,1.5068993,0.0
54,7,453.9565344,0.7720085,0.0
54,8,451.7824468,0.8195278,0.0
59,0,162.0679307,421.3172747,0.0
59,1,161.945594,422.1545728,0.0
59,2,161.9856079,419.2678503,0.0
59,3,162.3721047,420.2071466,0.0
59,4,164.9227016,420.2356206,0.0
59,5,165.3515009,418.6583656,0.0
59,6,163.6946073,418.1552273,0.0
59,7,159.9207428,419.4179091,0.0
59,8,160.0329547,421.2160023,0.0
66,0,176.8021578,333.1902859,0.0
66,1,178.596568,333.3072409,0.0
66,2,179.3860846,333.1357697,0.0
66,3,180.0632229,330.8009407,0.0
66,4,180.6891628,331.2237567,0.0
66,5,180.8201731,329.5116567,0.0
66,6,181.7530054,331.7903794,0.0
66,7,184.0952548,333.6726363,0.0
66,8,186.1421999,332.3711776,0.0
75,0,166.3734275,122.1739991,0.0
75,1,164.3270332,119.7737516,0.0
75,2,167.6451547,116.1044272,0.0
